年度	リーグ	順位	選手	チーム	打率	試合	打席	打数	得点	安打	二塁打	三塁打	本塁打	塁打	打点	盗塁	盗塁刺	犠打	犠飛	四球	故意四	死球	三振	併殺打	長打率	出塁率
2016	P	12	デスパイネ	(ロ)	0.28	134	570	496	81	139	27	0	24	238	92	0	3	0	7	64	3	3	89	25	0.48	0.361
2016	P	13	栗山　巧	(西)	0.279	135	569	477	52	133	30	2	3	176	41	0	0	0	3	83	0	6	87	9	0.369	0.39
2016	P	14	茂木　栄五郎	(楽)	0.278	117	481	424	56	118	20	7	7	173	40	11	4	21	2	30	0	4	95	8	0.408	0.33
2016	P	15	銀次	(楽)	0.274	125	497	424	39	116	17	1	2	141	43	1	1	4	3	61	5	5	49	20	0.333	0.369
2016	P	16	安達　了一	(オ)	0.273	118	488	403	51	110	15	1	1	130	34	6	6	35	4	42	0	4	53	4	0.323	0.344
2016	P	17	田中　賢介	(日)	0.272	143	626	541	61	147	14	1	2	169	53	22	8	3	4	69	3	9	56	4	0.312	0.361
2016	P	18	金子　侑司	(西)	0.265	129	520	460	64	122	12	3	1	143	33	53	17	13	1	40	0	6	69	5	0.311	0.331
2016	P	19	ウィーラー	(楽)	0.265	140	589	517	74	137	25	2	27	247	88	2	1	0	2	58	0	12	123	10	0.478	0.351
2016	P	20	藤田　一也	(楽)	0.265	120	449	408	27	108	13	5	0	131	46	1	1	18	3	19	0	1	44	7	0.321	0.297
2016	P	21	西野　真弘	(オ)	0.264	143	610	538	63	142	16	7	2	178	33	16	5	13	1	56	0	2	55	7	0.331	0.335
2016	P	22	レアード	(日)	0.263	143	598	547	71	144	21	0	39	282	97	0	0	0	4	44	1	3	138	16	0.516	0.319
2016	P	23	松田　宣浩	(ソ)	0.259	143	609	548	79	142	23	5	27	256	85	6	6	0	5	48	2	8	141	14	0.467	0.325
2016	P	24	メヒア	(西)	0.252	137	583	511	73	129	26	0	35	260	103	1	1	0	7	59	4	6	148	15	0.509	0.333
2016	P	25	岡島　豪郎	(楽)	0.252	127	485	420	44	106	13	4	6	145	35	7	9	6	3	46	2	10	49	4	0.345	0.338
2016	P	26	中田　翔	(日)	0.25	141	624	569	61	142	26	1	25	245	110	2	1	0	5	47	1	3	126	14	0.431	0.308
2016	P	27	今宮　健太	(ソ)	0.245	137	590	497	74	122	22	5	10	184	56	8	4	38	5	47	0	3	86	7	0.37	0.312
2016	P	28	中島　卓也	(日)	0.243	143	600	473	66	115	10	1	0	127	28	23	9	62	1	63	0	1	117	5	0.268	0.333
2015	P	1	柳田　悠岐	(ソ)	0.363	138	605	502	110	182	31	1	34	317	99	32	8	0	1	88	4	14	101	9	0.631	0.469
2015	P	2	秋山　翔吾	(西)	0.359	143	675	602	108	216	36	10	14	314	55	17	17	7	2	60	2	4	78	6	0.522	0.419
2015	P	3	近藤　健介	(日)	0.326	129	504	435	68	142	33	2	8	203	60	6	2	3	5	59	2	2	59	9	0.467	0.405
2015	P	4	清田　育宏	(ロ)	0.317	130	548	489	67	155	38	4	15	246	67	10	4	0	2	54	0	3	93	11	0.503	0.387
2015	P	5	中村　晃	(ソ)	0.3	135	590	506	58	152	22	0	1	177	39	7	4	9	3	66	0	6	47	7	0.35	0.386
2015	P	6	角中　勝也	(ロ)	0.293	111	484	427	57	125	20	5	6	173	52	8	4	7	2	47	0	1	52	12	0.405	0.363
2015	P	7	松田　宣浩	(ソ)	0.287	143	603	533	91	153	22	2	35	284	94	8	10	0	8	60	3	2	135	17	0.533	0.357
2015	P	8	森　友哉	(西)	0.287	138	531	474	51	136	33	1	17	222	68	0	4	0	3	44	3	9	143	5	0.468	0.357
2015	P	9	田中　賢介	(日)	0.284	134	596	532	62	151	20	2	4	187	66	9	3	5	1	57	0	1	58	9	0.352	0.354
2015	P	10	内川　聖一	(ソ)	0.284	136	585	529	60	150	24	1	11	209	82	1	0	0	7	45	2	4	55	24	0.395	0.34
2015	P	11	李　大浩	(ソ)	0.282	141	584	510	68	144	30	0	31	267	98	0	1	0	3	62	0	9	109	17	0.524	0.368
2015	P	12	中村　剛也	(西)	0.278	139	599	521	82	145	35	0	37	291	124	1	0	0	3	68	4	7	172	12	0.559	0.367
2015	P	13	西川　遥輝	(日)	0.276	125	521	442	68	122	18	9	5	173	35	30	7	15	0	60	2	4	98	1	0.391	0.368
2015	P	14	藤田　一也	(楽)	0.27	111	451	392	38	106	14	1	5	137	43	8	3	16	7	28	2	8	30	3	0.349	0.326
2015	P	15	浅村　栄斗	(西)	0.27	141	627	537	88	145	19	2	13	207	81	12	9	2	7	69	0	12	136	13	0.385	0.362
2015	P	16	ペーニャ	(楽)	0.268	125	492	406	51	109	20	1	17	182	40	1	3	0	0	70	0	16	111	5	0.448	0.396
2015	P	17	栗山　巧	(西)	0.268	142	622	533	66	143	25	0	10	198	42	3	1	8	4	72	0	5	88	15	0.371	0.358
2015	P	18	中島　卓也	(日)	0.264	143	617	515	69	136	8	2	0	148	39	34	7	34	0	66	0	2	93	10	0.287	0.35
2015	P	19	中田　翔	(日)	0.263	143	611	539	72	142	26	0	30	258	102	1	0	0	7	64	4	1	120	11	0.479	0.339
2015	P	20	鈴木　大地	(ロ)	0.263	142	564	487	60	128	24	4	6	178	50	1	5	24	3	47	1	3	58	10	0.366	0.33
2015	P	21	糸井　嘉男	(オ)	0.262	132	565	484	61	127	22	0	17	200	68	11	4	0	1	72	2	8	78	10	0.413	0.366
2015	P	22	松井　稼頭央	(楽)	0.256	126	501	445	52	114	17	1	10	163	48	14	2	7	3	43	3	3	82	7	0.366	0.324
2015	P	23	クルーズ	(ロ)	0.255	133	532	501	48	128	23	1	16	201	73	0	0	0	5	24	1	2	66	7	0.401	0.289
2015	P	24	中島　裕之	(オ)	0.24	117	483	417	43	100	19	0	10	149	46	1	2	0	1	53	1	12	93	10	0.357	0.342
2015	P	25	安達　了一	(オ)	0.239	139	593	506	57	121	16	3	11	176	55	16	15	29	4	48	0	6	68	11	0.348	0.31
2015	P	26	後藤　光尊	(楽)	0.237	117	444	413	31	98	18	0	9	143	42	13	8	10	4	12	0	5	48	8	0.346	0.265
2015	P	27	メヒア	(西)	0.235	135	525	473	52	111	31	0	27	223	89	0	0	0	2	45	1	5	153	14	0.471	0.307
2015	P	28	レアード	(日)	0.231	143	554	498	62	115	22	2	34	243	97	1	0	0	4	43	0	9	129	18	0.488	0.301
2015	P	29	今宮　健太	(ソ)	0.228	142	530	457	52	104	18	3	7	149	45	3	3	35	4	34	0	0	83	13	0.326	0.279
2015	P	30	炭谷　銀仁朗	(西)	0.211	133	443	399	31	84	16	0	4	112	35	0	0	22	2	16	0	4	87	7	0.281	0.247
2014	P	1	糸井　嘉男	(オ)	0.331	140	590	502	73	166	36	2	19	263	81	31	9	0	4	70	7	14	73	7	0.524	0.424
2014	P	2	銀次	(楽)	0.327	117	509	459	59	150	26	0	4	188	70	1	4	1	4	43	0	2	45	10	0.41	0.384
2014	P	3	柳田　悠岐	(ソ)	0.317	144	615	524	91	166	18	4	15	237	70	33	6	0	3	72	5	16	131	8	0.452	0.413
2014	P	4	中村　晃	(ソ)	0.308	143	638	571	75	176	22	4	4	218	61	10	2	3	2	59	2	3	61	4	0.382	0.375
2014	P	5	内川　聖一	(ソ)	0.307	122	534	488	50	150	26	1	18	232	74	0	0	0	7	34	6	5	48	5	0.475	0.354
2014	P	6	李　大浩	(ソ)	0.3	144	625	566	60	170	30	0	19	257	68	0	3	0	3	46	0	10	97	18	0.454	0.362
2014	P	7	長谷川　勇也	(ソ)	0.3	135	541	473	58	142	30	3	6	196	55	7	7	0	7	54	2	7	95	8	0.414	0.375
2014	P	8	陽　岱鋼	(日)	0.293	125	540	471	77	138	18	1	25	233	85	20	6	9	3	45	0	12	108	10	0.495	0.367
2014	P	9	松井　稼頭央	(楽)	0.291	128	488	444	57	129	32	3	8	191	46	9	0	2	5	36	0	1	78	9	0.43	0.342
2014	P	10	メヒア	(西)	0.29	106	450	396	56	115	11	1	34	230	73	2	1	0	3	45	1	6	156	4	0.581	0.369
2014	P	11	栗山　巧	(西)	0.288	144	642	532	64	153	34	4	3	204	61	3	2	2	9	96	2	3	100	9	0.383	0.394
2014	P	12	鈴木　大地	(ロ)	0.287	144	610	533	60	153	29	7	3	205	43	7	1	22	4	45	0	6	57	1	0.385	0.347
2014	P	13	岡島　豪郎	(楽)	0.283	142	618	545	77	154	27	3	7	208	53	9	10	9	3	57	2	4	71	7	0.382	0.353
2014	P	14	角中　勝也	(ロ)	0.277	133	544	451	62	125	22	5	8	181	57	9	1	7	4	76	0	6	66	4	0.401	0.385
2014	P	15	浅村　栄斗	(西)	0.273	118	501	440	52	120	19	1	14	183	55	3	5	0	8	47	2	6	100	8	0.416	0.345
2014	P	16	今江　敏晃	(ロ)	0.27	120	478	445	48	120	23	3	10	179	54	1	1	4	1	23	0	5	43	13	0.402	0.312
2014	P	17	中田　翔	(日)	0.269	144	602	531	64	143	18	0	27	242	100	0	0	0	7	58	3	6	89	12	0.456	0.344
2014	P	18	Ｔ－岡田	(オ)	0.269	130	533	472	67	127	28	0	24	227	75	4	4	5	2	37	4	17	107	10	0.481	0.343
2014	P	19	藤田　一也	(楽)	0.269	144	579	517	46	139	15	2	2	164	36	3	5	41	2	16	0	3	55	12	0.317	0.294
2014	P	20	平野　恵一	(オ)	0.268	120	517	452	59	121	14	3	1	144	28	5	2	19	2	37	0	7	55	8	0.319	0.331
2014	P	21	西川　遥輝	(日)	0.265	143	637	555	90	147	19	13	8	216	57	43	11	16	0	63	1	3	139	1	0.389	0.343
2014	P	22	安達　了一	(オ)	0.259	143	601	486	73	126	13	5	8	173	50	29	10	45	4	58	0	8	79	8	0.356	0.345
2014	P	23	中島　卓也	(日)	0.259	126	461	382	55	99	9	3	0	114	32	28	9	35	1	43	0	0	92	4	0.298	0.333
2014	P	24	秋山　翔吾	(西)	0.259	131	561	475	64	123	24	6	4	171	47	3	3	11	2	70	2	3	98	4	0.36	0.356
2014	P	25	中村　剛也	(西)	0.257	111	466	382	68	98	19	1	34	221	90	0	0	0	3	79	0	2	124	13	0.579	0.384
2014	P	26	ペーニャ	(オ)	0.255	140	572	502	68	128	20	0	32	244	90	2	0	0	1	59	6	10	124	15	0.486	0.344
2014	P	27	ヘルマン	(オ)	0.25	141	595	532	62	133	28	1	7	184	52	30	16	2	3	54	1	4	95	17	0.346	0.322
2014	P	28	大引　啓次	(日)	0.245	132	512	432	44	106	16	3	5	143	47	21	6	26	2	51	0	1	98	11	0.331	0.325
2014	P	29	今宮　健太	(ソ)	0.24	144	662	551	61	132	26	1	3	169	42	10	5	62	4	41	0	4	104	10	0.307	0.295
2014	P	30	クルーズ	(ロ)	0.238	126	478	453	38	108	32	1	16	190	61	1	2	0	5	18	1	2	47	13	0.419	0.268
2014	P	31	ジョーンズ	(楽)	0.221	138	581	448	69	99	20	0	24	191	71	2	3	0	3	118	5	12	140	16	0.426	0.394
2013	P	1	長谷川　勇也	(ソ)	0.341	144	637	580	92	198	29	6	19	296	83	12	2	0	5	47	0	5	111	5	0.51	0.392
2013	P	2	今江　敏晃	(ロ)	0.325	132	551	508	44	165	26	0	10	221	74	5	2	2	11	26	2	4	45	12	0.435	0.355
2013	P	3	ヘルマン	(西)	0.319	144	623	518	74	165	22	3	4	205	55	40	20	8	5	85	0	7	87	20	0.396	0.418
2013	P	4	銀次	(楽)	0.317	131	525	482	63	153	24	3	4	195	54	3	3	1	4	36	2	2	44	14	0.405	0.365
2013	P	5	浅村　栄斗	(西)	0.317	144	620	543	85	172	38	5	27	301	110	14	8	7	4	61	3	5	88	9	0.554	0.388
2013	P	6	内川　聖一	(ソ)	0.316	144	633	570	76	180	33	1	19	272	92	1	0	0	5	46	0	12	47	23	0.477	0.376
2013	P	7	中村　晃	(ソ)	0.307	109	492	427	77	131	22	2	5	172	44	7	9	2	2	54	1	7	59	12	0.403	0.392
2013	P	8	中田　翔	(日)	0.305	108	459	407	67	124	14	1	28	224	73	1	2	0	1	45	4	6	77	11	0.55	0.381
2013	P	9	李　大浩	(オ)	0.303	141	593	521	60	158	27	0	24	257	91	0	0	0	2	64	4	6	80	20	0.493	0.384
2013	P	10	糸井　嘉男	(オ)	0.3	141	601	524	75	157	33	2	17	245	61	33	9	0	3	66	1	8	93	6	0.468	0.384
2013	P	11	井口　資仁	(ロ)	0.297	135	566	485	68	144	31	2	23	248	83	4	3	0	4	67	2	10	81	13	0.511	0.39
2013	P	12	マギー	(楽)	0.292	144	590	513	78	150	30	0	28	264	93	2	3	0	5	70	3	2	119	12	0.515	0.376
2013	P	13	バルディリス	(オ)	0.289	142	585	512	60	148	25	1	17	226	91	1	0	0	4	54	3	15	67	17	0.441	0.371
2013	P	14	角中　勝也	(ロ)	0.288	125	525	462	65	133	26	6	5	186	43	10	6	6	3	50	1	4	63	3	0.403	0.36
2013	P	15	伊藤　光	(オ)	0.285	137	475	410	36	117	20	2	3	150	40	4	0	35	3	24	0	3	84	10	0.366	0.327
2013	P	16	聖澤　諒	(楽)	0.284	120	491	433	51	123	17	4	2	154	40	21	8	9	0	44	0	5	100	3	0.356	0.357
2013	P	17	アブレイユ	(日)	0.284	138	571	504	59	143	19	0	31	255	95	0	1	0	6	57	0	4	132	14	0.506	0.357
2013	P	18	本多　雄一	(ソ)	0.283	120	471	406	56	115	12	4	2	141	37	22	6	19	2	42	1	2	62	1	0.347	0.352
2013	P	19	陽　岱鋼	(日)	0.282	144	658	574	93	162	27	2	18	247	67	47	10	4	2	69	2	9	142	9	0.43	0.367
2013	P	20	松田　宣浩	(ソ)	0.279	144	626	584	86	163	26	5	20	259	90	13	7	2	7	27	1	6	124	11	0.443	0.314
2013	P	21	栗山　巧	(西)	0.279	144	637	527	77	147	29	3	12	218	73	6	3	1	4	99	2	6	96	8	0.414	0.396
2013	P	22	小谷野　栄一	(日)	0.275	139	559	512	37	141	23	1	3	175	46	2	5	8	10	26	0	3	77	9	0.342	0.309
2013	P	23	藤田　一也	(楽)	0.275	128	536	466	48	128	17	2	1	152	48	3	3	33	4	21	0	12	43	7	0.326	0.32
2013	P	24	秋山　翔吾	(西)	0.27	144	634	564	89	152	25	7	13	230	58	13	6	12	2	49	1	7	89	8	0.408	0.334
2013	P	25	大引　啓次	(日)	0.266	120	492	402	52	107	16	1	3	134	32	13	3	32	0	50	0	8	86	9	0.333	0.359
2013	P	26	鈴木　大地	(ロ)	0.264	144	551	481	54	127	20	11	5	184	50	2	4	14	6	38	2	12	66	8	0.383	0.33
2013	P	27	根元　俊一	(ロ)	0.262	123	559	485	72	127	20	0	8	171	45	9	1	14	3	52	0	5	85	7	0.353	0.338
2013	P	28	嶋　基宏	(楽)	0.257	134	507	447	44	115	13	1	4	142	48	3	3	16	3	39	2	2	92	14	0.318	0.318
2013	P	29	今宮　健太	(ソ)	0.253	143	600	491	57	124	23	4	5	170	43	10	3	62	3	35	1	9	94	7	0.346	0.312
2013	P	30	松井　稼頭央	(楽)	0.248	125	497	448	55	111	26	2	11	174	58	1	1	2	4	40	2	3	85	4	0.388	0.311
2013	P	31	ジョーンズ	(楽)	0.243	143	604	478	81	116	21	1	26	217	94	4	3	0	6	105	1	15	164	15	0.454	0.391
2013	P	32	安達　了一	(オ)	0.235	131	470	395	52	93	13	2	5	125	30	16	5	38	1	27	1	9	80	4	0.316	0.299
2013	P	33	炭谷　銀仁朗	(西)	0.215	141	468	413	28	89	16	0	5	120	43	1	2	19	2	30	2	4	62	14	0.291	0.274
2023	C	1	宮﨑　敏郎	(デ)	0.326	124	461	408	47	133	27	0	20	220	71	1	0	0	4	41	6	8	43	14	0.539	0.395
2023	C	2	西川　龍馬	(広)	0.305	109	443	416	48	127	20	1	9	176	56	7	6	1	4	21	4	1	52	10	0.423	0.337
2023	C	3	サンタナ	(ヤ)	0.3	136	516	467	52	140	32	0	18	226	66	2	0	0	3	44	1	2	114	17	0.484	0.36
2023	C	4	牧　秀悟	(デ)	0.293	143	605	559	78	164	39	3	29	296	103	2	2	0	6	33	3	7	85	17	0.53	0.337
2023	C	5	大島　洋平	(中)	0.289	130	494	470	34	136	17	2	0	157	23	6	1	1	3	15	1	5	43	7	0.334	0.316
2023	C	6	大山　悠輔	(神)	0.288	143	625	513	80	148	29	0	19	234	78	3	3	0	8	99	5	5	120	13	0.456	0.403
2023	C	7	坂本　勇人	(巨)	0.288	116	455	403	46	116	29	0	22	211	60	2	0	3	2	45	3	2	84	5	0.524	0.361
2023	C	8	近本　光司	(神)	0.285	129	585	501	83	143	24	12	8	215	54	28	3	0	5	67	2	12	71	6	0.429	0.379
2023	C	9	中野　拓夢	(神)	0.285	143	660	575	80	164	17	5	2	197	40	20	12	21	5	57	2	2	107	5	0.343	0.349
2023	C	10	大城　卓三	(巨)	0.281	134	490	424	50	119	20	1	16	189	55	0	0	21	4	36	3	5	109	12	0.446	0.341
2023	C	11	岡林　勇希	(中)	0.279	143	633	584	61	163	21	10	3	213	31	12	8	9	1	39	1	0	89	11	0.365	0.324
2023	C	12	岡本　和真	(巨)	0.278	140	589	503	83	140	31	0	41	294	93	0	1	0	6	72	10	8	111	10	0.584	0.374
2023	C	13	秋山　翔吾	(広)	0.274	115	483	434	48	119	20	6	4	163	38	8	3	9	1	35	3	4	81	12	0.376	0.333
2023	C	14	木浪　聖也	(神)	0.267	127	470	408	41	109	22	1	1	136	41	0	0	20	7	31	12	4	103	13	0.333	0.32
2023	C	15	坂倉　将吾	(広)	0.266	120	448	395	48	105	19	1	12	162	44	3	0	1	2	47	6	3	67	9	0.41	0.347
2023	C	16	佐野　恵太	(デ)	0.264	141	613	560	67	148	26	2	13	217	65	0	2	0	3	46	4	4	77	9	0.388	0.323
2023	C	17	佐藤　輝明	(神)	0.263	132	548	486	70	128	30	6	24	242	92	7	5	0	4	54	5	4	139	4	0.498	0.339
2023	C	18	関根　大気	(デ)	0.261	140	532	482	69	126	17	3	4	161	31	11	3	16	1	29	1	4	53	5	0.334	0.308
2023	C	19	菊池　涼介	(広)	0.258	120	485	442	51	114	17	0	5	146	27	7	5	8	1	32	1	2	68	6	0.33	0.31
2023	C	20	村上　宗隆	(ヤ)	0.256	140	597	496	76	127	28	0	31	248	84	5	3	0	4	90	4	7	168	6	0.5	0.375
2023	C	21	吉川　尚輝	(巨)	0.256	132	478	430	47	110	19	4	7	158	36	4	4	11	3	26	2	8	66	12	0.367	0.308
2023	C	22	オスナ	(ヤ)	0.253	134	543	501	49	127	23	0	23	219	71	2	4	0	2	39	5	1	79	13	0.437	0.308
2023	C	23	細川　成也	(中)	0.253	140	576	518	62	131	30	1	24	235	78	0	0	0	1	49	3	8	161	17	0.454	0.326
2023	C	24	桑原　将志	(デ)	0.252	132	479	429	48	108	23	4	7	160	35	3	8	11	6	23	0	10	54	11	0.373	0.301
2023	C	25	石川　昂弥	(中)	0.242	121	464	434	32	105	27	0	13	171	45	0	0	0	4	22	2	4	69	10	0.394	0.282
2023	C	26	ノイジー	(神)	0.24	133	516	475	42	114	13	1	9	156	56	0	0	0	3	36	0	2	85	13	0.328	0.295
2023	C	27	長岡　秀樹	(ヤ)	0.227	135	488	445	43	101	19	1	3	131	35	4	2	7	2	29	5	5	57	11	0.294	0.281
2022	C	1	村上　宗隆	(ヤ)	0.318	141	612	487	114	155	21	1	56	346	134	12	7	0	0	118	25	7	128	7	0.71	0.458
2022	C	2	大島　洋平	(中)	0.314	109	482	436	48	137	18	1	1	160	20	11	4	3	0	34	5	9	52	1	0.367	0.376
2022	C	3	佐野　恵太	(デ)	0.306	133	574	526	63	161	29	1	22	258	72	2	1	0	1	43	3	4	57	14	0.49	0.362
2022	C	4	宮﨑　敏郎	(デ)	0.3	122	482	434	51	130	24	1	16	204	50	0	0	0	2	44	9	2	35	16	0.47	0.365
2022	C	5	ビシエド	(中)	0.294	129	532	483	52	142	27	0	14	211	63	1	1	0	2	40	2	7	59	20	0.437	0.355
2022	C	6	近本　光司	(神)	0.293	132	580	525	71	154	16	3	3	185	34	30	5	6	1	41	0	7	63	7	0.352	0.352
2022	C	7	岡林　勇希	(中)	0.291	142	608	553	58	161	25	10	0	206	32	24	6	22	1	29	1	3	67	4	0.373	0.329
2022	C	8	牧　秀悟	(デ)	0.291	135	568	509	63	148	36	1	24	258	87	3	3	0	6	43	4	10	82	14	0.507	0.354
2022	C	9	坂倉　将吾	(広)	0.288	143	599	539	73	155	18	3	16	227	68	2	1	0	4	46	3	10	81	14	0.421	0.352
2022	C	10	吉川　尚輝	(巨)	0.277	132	567	516	64	143	20	6	7	196	31	16	7	10	1	32	0	8	53	6	0.38	0.329
2022	C	11	中野　拓夢	(神)	0.276	135	610	569	69	157	16	3	6	197	25	23	7	19	1	18	0	3	89	9	0.346	0.301
2022	C	12	塩見　泰隆	(ヤ)	0.276	130	567	508	83	140	30	6	16	230	54	24	7	1	3	43	1	12	122	6	0.453	0.345
2022	C	13	丸　佳浩	(巨)	0.272	143	607	525	81	143	31	1	27	257	65	6	7	1	0	80	1	1	88	8	0.49	0.37
2022	C	14	マクブルーム	(広)	0.272	128	508	448	57	122	25	0	17	198	74	0	0	0	3	52	2	5	105	13	0.442	0.352
2022	C	15	オスナ	(ヤ)	0.272	138	529	496	49	135	19	2	20	218	74	2	3	0	3	29	4	1	93	11	0.44	0.312
2022	C	16	阿部　寿樹	(中)	0.27	133	548	486	44	131	31	2	9	193	57	3	1	3	6	49	0	4	105	14	0.397	0.338
2022	C	17	大山　悠輔	(神)	0.267	124	510	439	54	117	18	1	23	206	87	0	1	1	5	59	5	6	103	17	0.469	0.358
2022	C	18	小園　海斗	(広)	0.266	127	511	473	57	126	12	6	7	171	38	2	2	8	5	24	2	1	76	11	0.362	0.3
2022	C	19	佐藤　輝明	(神)	0.264	143	603	541	70	143	35	8	20	254	84	11	3	0	7	51	5	4	137	5	0.47	0.328
2022	C	20	菊池　涼介	(広)	0.262	123	522	462	51	121	25	1	6	166	45	2	3	32	2	24	0	2	70	7	0.359	0.3
2022	C	21	桑原　将志	(デ)	0.257	130	529	475	61	122	32	1	4	168	39	13	8	7	1	42	0	4	89	3	0.354	0.322
2022	C	22	岡本　和真	(巨)	0.252	140	589	520	63	131	21	1	30	244	82	1	1	0	2	58	7	9	94	11	0.469	0.336
2022	C	23	糸原　健斗	(神)	0.247	132	495	445	31	110	12	1	3	133	36	2	3	6	4	35	1	5	48	7	0.299	0.307
2022	C	24	木下　拓哉	(中)	0.246	120	466	419	24	103	16	3	6	143	48	2	0	12	6	27	3	1	38	5	0.341	0.289
2022	C	25	山田　哲人	(ヤ)	0.243	130	540	469	69	114	31	0	23	214	65	10	2	0	5	60	1	6	140	7	0.456	0.333
2022	C	26	長岡　秀樹	(ヤ)	0.241	139	548	511	44	123	22	0	9	172	48	2	3	10	3	20	1	4	72	10	0.337	0.273
2022	C	27	ポランコ	(巨)	0.24	138	484	438	55	105	21	1	24	200	58	2	3	0	3	42	1	1	109	6	0.457	0.306
2021	C	1	鈴木　誠也	(広)	0.317	132	533	435	77	138	26	0	38	278	88	9	4	0	5	87	11	6	88	7	0.639	0.433
2021	C	2	坂倉　将吾	(広)	0.315	132	484	422	58	133	24	2	12	197	68	4	3	2	5	51	1	4	60	9	0.467	0.39
2021	C	3	牧　秀悟	(デ)	0.314	137	523	487	73	153	35	3	22	260	71	2	1	1	2	27	1	6	85	16	0.534	0.356
2021	C	4	近本　光司	(神)	0.313	140	612	569	91	178	33	5	10	251	50	24	7	4	2	33	0	4	58	6	0.441	0.354
2021	C	5	桑原　将志	(デ)	0.31	135	571	519	84	161	39	2	14	246	43	12	7	4	0	44	1	4	75	12	0.474	0.369
2021	C	6	佐野　恵太	(デ)	0.303	143	615	545	73	165	34	2	17	254	72	0	1	0	4	61	1	5	73	14	0.466	0.376
2021	C	7	宮﨑　敏郎	(デ)	0.301	141	569	519	61	156	32	0	16	236	73	0	0	0	5	41	3	4	53	15	0.455	0.353
2021	C	8	小園　海斗	(広)	0.298	113	481	449	65	134	18	6	5	179	35	4	4	12	4	13	1	3	57	7	0.399	0.32
2021	C	9	大島　洋平	(中)	0.292	141	596	548	54	160	19	5	1	192	34	16	8	1	2	42	5	3	60	4	0.35	0.345
2021	C	10	西川　龍馬	(広)	0.286	137	551	504	57	144	19	1	12	201	60	3	3	4	4	37	1	2	70	14	0.399	0.335
2021	C	10	糸原　健斗	(神)	0.286	125	488	441	34	126	17	3	2	155	30	6	5	1	3	41	0	2	61	9	0.351	0.347
2021	C	12	中村　悠平	(ヤ)	0.279	123	445	377	47	105	24	0	2	135	36	0	3	14	4	46	0	4	66	10	0.358	0.36
2021	C	13	塩見　泰隆	(ヤ)	0.278	140	534	474	80	132	21	7	14	209	59	21	5	2	0	48	1	10	156	1	0.441	0.357
2021	C	14	村上　宗隆	(ヤ)	0.278	143	615	500	82	139	27	0	39	283	112	12	7	0	3	106	6	6	133	12	0.566	0.408
2021	C	15	菊池　涼介	(広)	0.277	132	542	494	64	137	23	2	16	212	60	1	5	2	3	42	2	1	86	8	0.429	0.333
2021	C	16	ビシエド	(中)	0.275	130	526	480	44	132	23	1	17	208	70	1	2	0	3	35	9	8	56	15	0.433	0.333
2021	C	17	松原　聖弥	(巨)	0.274	135	477	431	69	118	20	4	12	182	37	15	7	3	3	38	0	2	100	4	0.422	0.333
2021	C	18	中野　拓夢	(神)	0.273	135	525	466	45	127	15	4	1	153	36	30	2	20	4	29	5	6	81	6	0.328	0.321
2021	C	19	山田　哲人	(ヤ)	0.272	137	581	493	84	134	18	0	34	254	101	4	3	0	7	76	0	5	100	10	0.515	0.37
2021	C	20	坂本　勇人	(巨)	0.271	117	487	424	53	115	26	0	19	198	46	2	3	2	2	58	4	1	90	4	0.467	0.359
2021	C	21	丸　佳浩	(巨)	0.265	118	457	392	58	104	21	0	23	194	55	5	3	0	2	63	0	0	120	5	0.495	0.365
2021	C	22	岡本　和真	(巨)	0.265	143	592	521	71	138	19	1	39	276	113	1	1	0	7	57	4	7	108	16	0.53	0.341
2021	C	23	大山　悠輔	(神)	0.26	129	512	466	55	121	23	2	21	211	71	2	1	0	7	37	1	2	89	15	0.453	0.313
2021	C	24	高橋　周平	(中)	0.259	137	520	475	40	123	27	0	5	165	39	1	0	0	4	40	4	1	79	21	0.347	0.315
2021	C	25	オスナ	(ヤ)	0.258	120	495	469	42	121	24	2	13	188	60	3	0	0	2	22	2	2	80	18	0.401	0.293
2021	C	26	マルテ	(神)	0.258	128	526	446	55	115	18	1	22	201	71	0	0	0	2	74	3	4	72	16	0.451	0.367
2021	C	26	青木　宣親	(ヤ)	0.258	122	501	446	57	115	29	0	9	171	56	0	0	0	2	43	1	10	44	10	0.383	0.335
2021	C	28	京田　陽太	(中)	0.257	113	448	409	41	105	7	4	3	129	24	6	5	8	3	21	0	7	75	5	0.315	0.302
2021	C	29	サンズ	(神)	0.248	120	461	408	47	101	21	1	20	184	65	1	1	0	3	49	5	1	89	11	0.451	0.328
2021	C	30	佐藤　輝明	(神)	0.238	126	455	425	56	101	25	0	24	198	64	6	2	0	2	25	4	3	173	2	0.466	0.284
2021	C	31	ソト	(デ)	0.234	123	451	410	42	96	18	1	21	179	62	0	1	0	1	35	4	5	116	12	0.437	0.302
2021	C	32	梅野　隆太郎	(神)	0.225	130	458	404	33	91	15	3	3	121	33	8	4	6	2	41	3	5	107	14	0.3	0.303
2020	C	1	佐野　恵太	(デ)	0.328	106	451	402	48	132	20	1	20	214	69	0	0	0	3	42	1	4	58	13	0.532	0.395
2020	C	2	梶谷　隆幸	(デ)	0.323	109	482	433	88	140	29	1	19	228	53	14	8	1	2	45	3	1	85	4	0.527	0.387
2020	C	3	青木　宣親	(ヤ)	0.317	107	425	357	64	113	30	1	18	199	51	2	1	0	1	62	2	5	51	6	0.557	0.424
